"Link_id","Time","Speed","Volumn"
"A000012","0000",78,2354
"A000012","0100",84,1618
"A000012","0200",74,2532
"A000012","0300",80,1915
"A000012","0400",68,3264
"A000012","0500",61,3617
"A000012","0600",50,5082
"A000012","0700",44,5813
"A000012","0800",43,5616
"A000012","0900",42,5773
"A000012","1000",47,5515
"A000012","1100",52,4765
"A000012","1200",53,4916
"A000012","1300",51,4959
"A000012","1400",50,4896
"A000012","1500",62,3648
"A000012","1600",52,4862
"A000012","1700",58,4152
"A000012","1800",41,5758
"A000012","1900",49,5128
"A000012","2000",58,4246
"A000012","2100",55,4750
"A000012","2200",78,2171
"A000012","2300",66,3252
