"Link_id","Time","Speed","Volumn"
"A000001","0000",75,2635
"A000001","0100",84,1521
"A000001","0200",80,1941
"A000001","0300",73,2661
"A000001","0400",68,3324
"A000001","0500",64,3584
"A000001","0600",32,6823
"A000001","0700",30,6737
"A000001","0800",44,5722
"A000001","0900",40,6058
"A000001","1000",52,4575
"A000001","1100",56,4315
"A000001","1200",53,4539
"A000001","1300",60,3800
"A000001","1400",61,4053
"A000001","1500",55,4553
"A000001","1600",56,4253
"A000001","1700",55,4709
"A000001","1800",31,6589
"A000001","1900",33,6841
"A000001","2000",50,4764
"A000001","2100",55,4657
"A000001","2200",65,3606
"A000001","2300",67,3161
