"Link_id","Time","Speed","Volumn"
"A000015","0000",84,1590
"A000015","0100",82,1834
"A000015","0200",73,2520
"A000015","0300",71,2824
"A000015","0400",69,2957
"A000015","0500",60,4110
"A000015","0600",47,5063
"A000015","0700",44,5447
"A000015","0800",50,5278
"A000015","0900",45,5440
"A000015","1000",53,4501
"A000015","1100",56,4470
"A000015","1200",52,4711
"A000015","1300",57,4330
"A000015","1400",57,4348
"A000015","1500",68,3170
"A000015","1600",59,4160
"A000015","1700",43,5357
"A000015","1800",47,5184
"A000015","1900",41,5743
"A000015","2000",60,4070
"A000015","2100",55,4416
"A000015","2200",72,2691
"A000015","2300",65,3398
