"Link_id","Time","Speed","Volumn"
"A000003","0000",82,1845
"A000003","0100",83,1754
"A000003","0200",72,2816
"A000003","0300",75,2265
"A000003","0400",62,3871
"A000003","0500",65,3473
"A000003","0600",40,5841
"A000003","0700",45,5388
"A000003","0800",41,6001
"A000003","0900",46,5435
"A000003","1000",57,4201
"A000003","1100",47,5277
"A000003","1200",57,4312
"A000003","1300",59,4129
"A000003","1400",65,3589
"A000003","1500",54,4659
"A000003","1600",40,6131
"A000003","1700",47,5384
"A000003","1800",41,6157
"A000003","1900",47,5738
"A000003","2000",57,4530
"A000003","2100",54,4491
"A000003","2200",60,3816
"A000003","2300",63,3625
