"Link_id","Time","Speed","Volumn"
"A000009","0000",75,2467
"A000009","0100",83,1645
"A000009","0200",70,3170
"A000009","0300",77,2333
"A000009","0400",62,3632
"A000009","0500",61,3858
"A000009","0600",43,5474
"A000009","0700",46,5417
"A000009","0800",36,6267
"A000009","0900",50,4835
"A000009","1000",45,5607
"A000009","1100",55,4531
"A000009","1200",57,4388
"A000009","1300",51,5028
"A000009","1400",70,3024
"A000009","1500",61,3690
"A000009","1600",58,4264
"A000009","1700",51,4784
"A000009","1800",37,6080
"A000009","1900",30,6970
"A000009","2000",57,4357
"A000009","2100",51,5000
"A000009","2200",62,3764
"A000009","2300",79,2213
