"Link_id","Time","Speed","Volumn"
"A000016","0000",82,1752
"A000016","0100",79,2027
"A000016","0200",76,2373
"A000016","0300",71,2782
"A000016","0400",65,3351
"A000016","0500",64,3544
"A000016","0600",37,6378
"A000016","0700",44,5633
"A000016","0800",37,6303
"A000016","0900",47,5219
"A000016","1000",42,5815
"A000016","1100",44,5813
"A000016","1200",59,4226
"A000016","1300",50,5097
"A000016","1400",59,3995
"A000016","1500",58,4098
"A000016","1600",45,5326
"A000016","1700",43,5887
"A000016","1800",45,5321
"A000016","1900",46,5327
"A000016","2000",57,4097
"A000016","2100",52,4959
"A000016","2200",61,3959
"A000016","2300",72,2667
