"Link_id","Time","Speed","Volumn"
"A000006","0000",80,1854
"A000006","0100",83,1719
"A000006","0200",71,2971
"A000006","0300",76,2566
"A000006","0400",60,3950
"A000006","0500",66,3498
"A000006","0600",39,6337
"A000006","0700",41,5814
"A000006","0800",40,6119
"A000006","0900",38,6302
"A000006","1000",46,5770
"A000006","1100",54,4463
"A000006","1200",58,4414
"A000006","1300",56,4443
"A000006","1400",66,3373
"A000006","1500",69,3146
"A000006","1600",58,4335
"A000006","1700",53,4621
"A000006","1800",42,5845
"A000006","1900",47,5506
"A000006","2000",56,4375
"A000006","2100",58,4260
"A000006","2200",60,3990
"A000006","2300",75,2447
