"Link_id","Time","Speed","Volumn"
"A000013","0000",78,2248
"A000013","0100",82,1853
"A000013","0200",78,2249
"A000013","0300",74,2600
"A000013","0400",63,3784
"A000013","0500",67,3125
"A000013","0600",47,5473
"A000013","0700",40,6169
"A000013","0800",41,5871
"A000013","0900",38,6086
"A000013","1000",52,4782
"A000013","1100",58,4092
"A000013","1200",58,4026
"A000013","1300",55,4584
"A000013","1400",57,4331
"A000013","1500",62,3823
"A000013","1600",49,4966
"A000013","1700",45,5517
"A000013","1800",33,6675
"A000013","1900",47,5144
"A000013","2000",54,4589
"A000013","2100",57,4449
"A000013","2200",66,3498
"A000013","2300",61,4009
