"Link_id","Time","Speed","Volumn"
"A000010","0000",81,1928
"A000010","0100",76,2439
"A000010","0200",72,2638
"A000010","0300",78,2266
"A000010","0400",68,3124
"A000010","0500",64,3494
"A000010","0600",44,5507
"A000010","0700",37,6327
"A000010","0800",44,5645
"A000010","0900",39,5989
"A000010","1000",42,5597
"A000010","1100",52,4825
"A000010","1200",60,4158
"A000010","1300",59,4199
"A000010","1400",56,4546
"A000010","1500",70,3182
"A000010","1600",53,4568
"A000010","1700",52,4919
"A000010","1800",35,6517
"A000010","1900",32,6927
"A000010","2000",51,4978
"A000010","2100",54,4644
"A000010","2200",79,2167
"A000010","2300",69,3018
