"Link_id","Time","Speed","Volumn"
"A000014","0000",84,1608
"A000014","0100",81,1886
"A000014","0200",79,2086
"A000014","0300",80,1962
"A000014","0400",66,3353
"A000014","0500",68,3133
"A000014","0600",47,5192
"A000014","0700",35,6711
"A000014","0800",40,6029
"A000014","0900",37,6365
"A000014","1000",60,4009
"A000014","1100",55,4499
"A000014","1200",51,4945
"A000014","1300",53,4676
"A000014","1400",53,4764
"A000014","1500",62,3800
"A000014","1600",54,4721
"A000014","1700",52,4703
"A000014","1800",42,5651
"A000014","1900",50,4786
"A000014","2000",57,4282
"A000014","2100",58,4340
"A000014","2200",79,2055
"A000014","2300",66,3322
