"Link_id","Time","Speed","Volumn"
"A000017","0000",76,2391
"A000017","0100",85,1591
"A000017","0200",77,2336
"A000017","0300",74,2624
"A000017","0400",62,3691
"A000017","0500",67,3308
"A000017","0600",50,4860
"A000017","0700",46,5849
"A000017","0800",47,5230
"A000017","0900",36,6436
"A000017","1000",60,4109
"A000017","1100",53,4968
"A000017","1200",52,4781
"A000017","1300",50,4885
"A000017","1400",65,3412
"A000017","1500",62,3833
"A000017","1600",47,5363
"A000017","1700",52,4920
"A000017","1800",45,5351
"A000017","1900",38,6182
"A000017","2000",51,5106
"A000017","2100",56,4453
"A000017","2200",65,3494
"A000017","2300",71,2748
