"Link_id","Time","Speed","Volumn"
"A000011","0000",82,1729
"A000011","0100",78,2176
"A000011","0200",78,2168
"A000011","0300",76,2414
"A000011","0400",65,3586
"A000011","0500",66,3237
"A000011","0600",39,6037
"A000011","0700",42,5417
"A000011","0800",50,4948
"A000011","0900",35,6628
"A000011","1000",55,4357
"A000011","1100",52,4675
"A000011","1200",52,5065
"A000011","1300",59,4085
"A000011","1400",53,4750
"A000011","1500",52,4879
"A000011","1600",51,4720
"A000011","1700",45,5553
"A000011","1800",39,5912
"A000011","1900",30,6545
"A000011","2000",50,5094
"A000011","2100",54,4743
"A000011","2200",72,2782
"A000011","2300",80,2076
