"Link_id","Time","Speed","Volumn"
"A000018","0000",81,1971
"A000018","0100",75,2540
"A000018","0200",79,2094
"A000018","0300",75,2477
"A000018","0400",60,4148
"A000018","0500",65,3571
"A000018","0600",36,6397
"A000018","0700",39,6258
"A000018","0800",41,5711
"A000018","0900",45,5503
"A000018","1000",43,5766
"A000018","1100",40,6286
"A000018","1200",60,4195
"A000018","1300",55,4566
"A000018","1400",66,3416
"A000018","1500",57,4311
"A000018","1600",44,5381
"A000018","1700",49,4926
"A000018","1800",32,6733
"A000018","1900",40,6026
"A000018","2000",52,4752
"A000018","2100",59,4101
"A000018","2200",77,2293
"A000018","2300",76,2400
