"Link_id","Time","Speed","Volumn"
"A000002","0000",81,1905
"A000002","0100",82,1685
"A000002","0200",71,3037
"A000002","0300",76,2379
"A000002","0400",67,3115
"A000002","0500",68,3259
"A000002","0600",36,6347
"A000002","0700",47,5201
"A000002","0800",45,5552
"A000002","0900",41,5937
"A000002","1000",53,4746
"A000002","1100",57,4164
"A000002","1200",59,4044
"A000002","1300",56,4318
"A000002","1400",63,3536
"A000002","1500",58,4489
"A000002","1600",42,5917
"A000002","1700",51,5207
"A000002","1800",46,5139
"A000002","1900",33,6689
"A000002","2000",57,4374
"A000002","2100",54,4580
"A000002","2200",77,2312
"A000002","2300",60,3988
