"Link_id","Time","Speed","Volumn"
"A000005","0000",83,1685
"A000005","0100",75,2618
"A000005","0200",71,2796
"A000005","0300",80,2067
"A000005","0400",66,3403
"A000005","0500",60,4036
"A000005","0600",49,5119
"A000005","0700",47,5253
"A000005","0800",41,5701
"A000005","0900",48,5198
"A000005","1000",44,5702
"A000005","1100",42,5519
"A000005","1200",58,4174
"A000005","1300",51,5064
"A000005","1400",54,4730
"A000005","1500",59,4030
"A000005","1600",42,5511
"A000005","1700",40,5841
"A000005","1800",35,6247
"A000005","1900",47,5559
"A000005","2000",52,4592
"A000005","2100",58,4289
"A000005","2200",75,2520
"A000005","2300",61,3937
