"Link_id","Time","Speed","Volumn"
"A000020","0000",79,2167
"A000020","0100",78,2296
"A000020","0200",71,3111
"A000020","0300",76,2304
"A000020","0400",69,3125
"A000020","0500",60,4089
"A000020","0600",43,5733
"A000020","0700",45,5257
"A000020","0800",49,4920
"A000020","0900",43,5398
"A000020","1000",51,5038
"A000020","1100",49,5329
"A000020","1200",50,4979
"A000020","1300",59,4123
"A000020","1400",69,3088
"A000020","1500",56,4289
"A000020","1600",55,4683
"A000020","1700",54,4548
"A000020","1800",42,6115
"A000020","1900",40,5880
"A000020","2000",58,4250
"A000020","2100",51,4956
"A000020","2200",74,2499
"A000020","2300",67,3528
