"Link_id","Time","Speed","Volumn"
"A000004","0000",76,2527
"A000004","0100",79,2137
"A000004","0200",71,2904
"A000004","0300",72,2763
"A000004","0400",64,3621
"A000004","0500",61,3875
"A000004","0600",42,6062
"A000004","0700",41,6105
"A000004","0800",39,5960
"A000004","0900",38,6220
"A000004","1000",50,5115
"A000004","1100",58,4231
"A000004","1200",55,4786
"A000004","1300",57,4084
"A000004","1400",69,3077
"A000004","1500",66,3446
"A000004","1600",55,4551
"A000004","1700",44,5341
"A000004","1800",38,6388
"A000004","1900",49,5265
"A000004","2000",60,3996
"A000004","2100",51,4797
"A000004","2200",63,3591
"A000004","2300",62,3902
