"Link_id","Time","Speed","Volumn"
"A000007","0000",79,2022
"A000007","0100",81,1859
"A000007","0200",76,2289
"A000007","0300",70,3001
"A000007","0400",63,3933
"A000007","0500",64,3435
"A000007","0600",34,6930
"A000007","0700",43,5765
"A000007","0800",37,6567
"A000007","0900",41,6110
"A000007","1000",58,4076
"A000007","1100",52,4859
"A000007","1200",54,4543
"A000007","1300",52,4801
"A000007","1400",60,4106
"A000007","1500",58,4119
"A000007","1600",53,4718
"A000007","1700",56,4108
"A000007","1800",36,6867
"A000007","1900",44,5730
"A000007","2000",52,4691
"A000007","2100",58,4371
"A000007","2200",75,2449
"A000007","2300",77,2280
